Bravo,G,ManCity,1,0001,,0,0,0,0,,,,0,0
K.Walker,D,ManCity,2,0002,,0,0,0,0,,,,0,0
Stones,D,ManCity,5,0005,,0,0,0,0,,,,0,0
Sterling,M,ManCity,7,0007,LIN,151,5,6,1,LIN,,,0,0
Gundogan,M,ManCity,8,0008,ESP,10,1,1,3,NLP,MCG,ESP,0,0
G.Jesus,F,ManCity,9,0009,TMM,30,2,5,1,TMM,,,0,0
Aguero,F,ManCity,10,0010,,0,5,0,1,JUV,,,0,0
Zinchenko,D,ManCity,11,0011,,0,0,0,0,,,,0,0
Angelino,D,Leipzig,3,0012,,0,0,0,0,,,,0,0
Carson,G,ManCity,33,0013,,0,0,0,0,,,,0,0
Laporte,D,ManCity,14,0014,,0,0,0,0,,,,0,0
Rodri,M,ManCity,16,0016,,0,0,0,0,,,,0,0
Bruyne,M,ManCity,17,0017,LEI,11,5,2,1,LEI,,,0,0
L.Sane,F,ManCity,19,0019,,0,0,0,1,ESP,,,0,0
B.Silva,M,ManCity,20,0020,JUV,21,5,0,1,JUV,,,0,0
D.Silva,M,ManCity,21,0021,LEI,10,4,2,1,LEI,,,0,0
B.Mendy,D,ManCity,22,0022,,0,0,0,0,,,,0,0
Fernandinho,M,ManCity,25,0025,,0,0,0,0,,,,0,0
Mahrez,M,ManCity,26,0026,TFE,15,6,1,1,TFE,,,0,0
Cancelo,D,ManCity,27,0027,,0,0,0,1,MCG,,,0,0
Otamendi,D,ManCity,30,0030,,0,1,0,1,LIN,,,0,0
Ederson,G,ManCity,31,0031,,0,0,0,0,,,,0,0
Grimshaw,G,ManCity,32,0032,,0,0,0,0,,,,0,0
Foden,M,ManCity,47,0047,VIK,10,0,2,1,VIK,,,0,0
E.Garcia,D,ManCity,50,0050,,0,0,0,0,,,,0,0
Touaizi,F,ManCity,51,0051,,0,0,0,0,,,,0,0
T.Wilson,D,ManCity,52,0052,,0,0,0,0,,,,0,0
Garre,M,ManCity,54,0054,,0,0,0,0,,,,0,0
